Title,Date,City,Location,Category,Source,Link
A. Deeplove [Andrew VanWyngarden of MGMT] + Bryce Hackford,"Thu, Apr 2 · 10:30 PM","New York City, NY","public records, New York City",Other,Resident Advisor,https://ra.co/events/2346122
"Azadi: ZAINAB, Arianna Danae, Sidd","Thu, Apr 2 · 10:30 PM","New York City, NY","public records, New York City",Other,Resident Advisor,https://ra.co/events/2369767
Good Friday | Viernes Santo,"Fri, Apr 3","Newark, NJ","Cathedral Basilica of the Sacred Heart, Newark",Other,Allevents,https://allevents.in/newark/good-friday-|-viernes-santo/200029860840010
The World Famous Harlem Gospel Choir Easter Weekend Brunch,"Fri, Apr 3","New York City, NY","Blue Note Jazz Club - New York, New York",Outdoor & Fitness,Allevents,https://allevents.in/new-york/the-world-famous-harlem-gospel-choir-easter-weekend-brunch/2300029603443137
ARIRES AFFAIR ♈,"Fri, Apr 3","Newark, NJ","Little Tijuana, Newark",Other,Eventbrite,https://www.eventbrite.com/e/arires-affair-tickets-1982083460988
Vibes & Play Fridays,"Fri, Apr 3","Newark, NJ","Eko Atlantic Restaurant and lounge, Newark",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/vibes-play-fridays-tickets-1982260782361
Julie Rhodes & Dred Buffalo,"Fri, Apr 3","Cambridge, MA","Lizard Lounge, Cambridge",Other,Eventbrite,https://www.eventbrite.com/e/julie-rhodes-dred-buffalo-tickets-1982904438554
Technology & National Security Conference 2026,"Fri, Apr 3","Cambridge, MA","Kresge Auditorium, Cambridge",Other,Eventbrite,https://www.eventbrite.com/e/technology-national-security-conference-2026-tickets-1977520516097
Friday Night Lights Everyone FREE B4 12am w/RSVP at Mama Taco Bk,"Fri, Apr 3","New York City, NY","MAMATACO, Brooklyn",Other,Eventbrite,https://www.eventbrite.com/e/friday-night-lights-everyone-free-b4-12am-wrsvp-at-mama-taco-bk-tickets-1977459767396
Black Story Teller’s Book Club,"Fri, Apr 3","Cambridge, MA","lala books, Lowell",Culture & Learning,Eventbrite,https://www.eventbrite.com/e/black-story-tellers-book-club-tickets-1977710898536
